"Key","Value"
92853,0.0054
92854,0.0213
92855,0.0199
92856,0.0149
92857,0.0146
92858,0.0149
92859,0.0142
92860,0.0243
92861,0.0314
92862,0.0174
92863,0.0239
92864,0.0312
92865,0.0197
92866,0.0225
92867,0.0209
92868,0.0218
92869,0.0226
92870,0.0147
92871,0.0416
92872,0.0269
92873,0.0204
92874,0.0266
92875,0.0204
92876,0.0303
92877,0.0343
92878,0.0225
92879,0.0221
92880,0.0312
92881,0.0332
92882,0.0596
92883,0.0381
92884,0.0572
92885,0.0454
92886,0.0013
93311,0.0096
93312,0.0183
93313,0.0365
93314,0.0297
93315,0.014
93316,2e-04
93317,0.0047
93318,0.0139
93319,0.0156
93320,0.0174
93321,0.0215
93322,0.0219
93323,0.0276
93324,0.0237
93325,0.0325
93326,0.0252
93327,0.0205
93328,0.0174
93329,0.015
93330,0.0329
93331,0.0162
93332,0.0285
93333,0.0361
93334,0.0233
93335,0.0189
93336,0.013
93337,0.0142
93338,0.032
93339,0.0272
93340,0.0206
93341,0.0362
93342,0.031
93343,0.0337
93344,0.0382
93345,0.0353
93346,0.0296
93347,0.0284
93348,0.0391
93349,0.0355
93350,0.0364
93351,0.0149
93352,0.0032
93353,0.0028
93354,1e-04
93770,0.0195
93771,0.0233
93772,0.0447
93773,0.0215
93774,0.017
93775,0.0016
93776,0.0099
93777,0.0215
93778,0.0194
93779,0.0191
93780,0.0213
93781,0.0205
93782,0.0217
93783,0.0164
93784,0.0234
93785,0.0282
93786,0.0193
93787,0.0174
93788,0.0258
93789,0.0247
93790,0.0306
93791,0.0267
93792,0.0292
93793,0.0246
93794,0.0165
93795,0.0276
93796,0.0272
93797,0.029
93798,0.0315
93799,0.0716
93800,0.0997
93801,0.0523
93802,0.0331
93803,0.031
93804,0.0243
93805,0.0256
93806,0.0283
93807,0.0211
93808,0.0012
93809,0.0115
93810,0.011
93811,0.002
93812,0.0012
94228,7e-04
94229,0.0014
94230,0.0127
94231,0.0194
94232,0.0233
94233,0.027
94234,0.0276
94235,0.0207
94236,0.0067
94237,0.002
94238,0.0031
94239,0.0114
94240,0.016
94241,0.0147
94242,0.0114
94243,0.0136
94244,0.0272
94245,0.0213
94246,0.0211
94247,0.0229
94248,0.0255
94249,0.0207
94250,0.0121
94251,0.0311
94252,0.0203
94253,0.0232
94254,0.0188
94255,0.0264
94256,0.0345
94257,0.0282
94258,0.0362
94259,0.0386
94260,0.0248
94261,0.0345
94262,0.0359
94263,0.0599
94264,0.0486
94265,0.026
94266,0.027
94267,0.018
94268,6e-04
94269,0.0028
94270,2e-04
94271,0.0043
94272,0.0159
94273,0.0116
94274,0.0054
94275,0.001
94295,0.0051
94296,0.008
94689,0.0164
94690,0.0263
94691,0.0239
94692,0.0136
94693,0.0428
94694,0.0235
94695,0.0122
94696,0.0067
94697,0.0045
94698,0.0033
94699,0.0154
94700,0.0235
94701,0.0197
94702,0.0121
94703,0.0359
94704,0.0256
94705,0.0188
94706,0.0248
94707,0.0222
94708,0.0312
94709,0.0212
94710,0.0217
94711,0.0366
94712,0.0302
94713,0.0512
94714,0.0268
94715,0.0322
94716,0.03
94717,0.0229
94718,0.0299
94719,0.0229
94720,0.0241
94721,0.0355
94722,0.0365
94723,0.0365
94724,0.0363
94725,0.0233
94726,0.0013
94727,0.0018
94728,2e-04
94729,5e-04
94730,0.002
94731,0.0039
94732,0.0087
94733,0.0016
94734,0.0115
94738,0.1014
94754,0.0029
94755,0.0046
94756,6e-04
94757,6e-04
94758,0.0034
95139,0.0234
95140,0.0319
95141,0.029
95142,0.0363
95143,0.0156
95144,0.0101
95145,0.0026
95146,0.0089
95147,0.0163
95148,0.0104
95149,0.0179
95150,0.0168
95151,0.0154
95152,0.0252
95153,0.0228
95154,0.0237
95155,0.0148
95156,0.0193
95157,0.0219
95158,0.0228
95159,0.0238
95160,0.0404
95161,0.0235
95162,0.0296
95163,0.0293
95164,0.0381
95165,0.0249
95166,0.0332
95167,0.0335
95168,0.0313
95169,0.045
95170,0.0347
95171,0.0362
95172,0.0101
95173,0.0031
95174,0.0158
95175,0.0032
95176,0.0055
95177,0.0038
95178,6e-04
95179,0.0013
95180,0.0041
95181,0.0493
95182,0.0675
95183,0.0584
95184,0.0756
95185,0.1742
95186,0.2056
95187,0.2599
95188,0.0586
95189,0.0295
95196,5e-04
95199,0.0014
95200,3e-04
95201,0.0039
95202,0.002
95203,1e-04
95204,3e-04
95205,0.0019
95589,0.0043
95590,0.0345
95591,0.0402
95592,0.0422
95593,0.0407
95594,0.0053
95595,0.0023
95596,0.0038
95597,0.0114
95598,0.017
95599,0.0134
95600,0.0107
95601,0.0103
95602,0.0132
95603,0.0626
95604,0.041
95605,0.0347
95606,0.0404
95607,0.0563
95608,0.0311
95609,0.0392
95610,0.0293
95611,0.0322
95612,0.0261
95613,0.0266
95614,0.045
95615,0.0379
95616,0.0308
95617,0.0446
95618,0.0333
95619,0.0283
95620,0.013
95621,0.0207
95622,0.0359
95623,0.0401
95624,0.0266
95625,8e-04
95626,0.0032
95627,7e-04
95628,0.0108
95629,0.0204
95630,0.0122
95631,0.0012
95632,3e-04
95633,0.0189
95634,0.0253
95635,0.0057
95636,0.0267
95637,0.0778
95638,0.1109
95639,0.1903
95640,0.206
95641,0.064
95642,0.0371
95644,0.0022
95647,0.009
95648,0.0139
95649,0.0065
95650,0.0046
95651,3e-04
95652,0.0015
95653,4e-04
95654,0.0043
95655,0.0121
95656,0.0207
95657,0.0141
95658,0.0047
96039,3e-04
96040,0.0303
96041,0.0465
96042,0.058
96043,0.0167
96044,0.0011
96045,0.0038
96046,0.0081
96047,0.017
96048,0.0167
96049,0.0132
96050,0.0239
96051,0.0154
96052,0.0239
96053,0.0498
96054,0.0457
96055,0.0706
96056,0.1084
96057,0.0657
96058,0.0398
96059,0.0284
96060,0.0353
96061,0.0279
96062,0.023
96063,0.0247
96064,0.0168
96065,0.0306
96066,0.0464
96067,0.0369
96068,0.0327
96069,0.0283
96070,0.0127
96071,0.0103
96072,0.0272
96073,0.0194
96074,0.0461
96075,0.04
96076,0.0058
96077,0.0012
96078,0.0047
96079,0.0085
96080,0.0162
96081,0.0113
96082,0.0022
96083,0.002
96084,0.003
96085,8e-04
96086,0.0062
96087,0.0635
96088,0.0274
96089,0.084
96090,0.0487
96091,0.1659
96092,0.1924
96093,0.0741
96094,0.0588
96095,0.0356
96096,0.1069
96097,0.0509
96098,0.0212
96099,0.0489
96100,0.0441
96101,0.0148
96102,0.0077
96103,1e-04
96104,2e-04
96105,0.0085
96106,0.0128
96107,0.0249
96108,0.0306
96109,0.0406
96110,0.0276
96111,0.0207
96112,0.002
96505,0.002
96506,4e-04
96507,0.0323
96508,0.0428
96509,0.0597
96510,0.0406
96511,0.0078
96512,0.0025
96513,0.0276
96514,0.0436
96515,0.043
96516,0.042
96517,0.0349
96518,0.0418
96519,0.0154
96520,0.0315
96521,0.0314
96522,0.0316
96523,0.0545
96524,0.0459
96525,0.058
96526,0.0363
96527,0.0508
96528,0.0302
96529,0.0358
96530,0.0404
96531,0.0237
96532,0.0195
96533,0.0196
96534,0.037
96535,0.0414
96536,0.0411
96537,0.0138
96538,2e-04
96539,0.0047
96540,0.0014
96541,0.0062
96542,0.0097
96543,4e-04
96544,0.0044
96545,0.0073
96546,0.0202
96547,0.0241
96548,0.0238
96549,0.0013
96550,0.0051
96551,0.0479
96552,0.05
96553,0.0502
96554,0.1165
96555,0.2149
96556,0.2091
96557,0.0324
96558,0.0565
96559,0.1162
96560,0.0144
96561,0.0733
96562,0.089
96563,0.016
96564,0.0671
96565,0.0357
96566,0.0179
96567,0.0041
96568,2e-04
96569,0.0036
96570,0.0138
96571,0.0114
96572,0.0208
96574,0.0125
96576,0.0172
96577,0.006
96578,0.005
96579,0.0038
96959,0.0067
96960,1e-04
96961,0.0333
96962,0.05
96963,0.0454
96964,0.0416
96965,0.0075
96966,0.0074
96967,0.0086
96968,0.027
96969,0.0199
96970,0.0341
96971,0.0298
96972,0.0225
96973,0.0196
96974,0.0209
96975,0.0299
96976,0.0363
96977,0.0312
96978,0.0263
96979,0.0334
96980,0.0251
96981,0.0328
96982,0.0331
96983,0.0373
96984,0.029
96985,0.0357
96986,0.0271
96987,0.0304
96988,0.0213
96989,0.0232
96990,0.0264
96991,0.0194
96992,0.0033
96993,4e-04
96994,0.0035
96995,0.0012
96996,0.0052
96997,0.0087
96998,0.0091
96999,0.0196
97000,0.0721
97001,0.0933
97002,0.047
97003,0.0065
97004,0.0022
97005,0.0025
97006,0.0258
97007,0.034
97008,0.0094
97009,0.0188
97010,0.1747
97011,0.2345
97012,0.0776
97013,0.0028
97014,0.0325
97015,0.0104
97016,0.0576
97017,0.0673
97018,0.0048
97019,0.0296
97020,0.0275
97021,0.0152
97022,2e-04
97023,0.0042
97024,0.0067
97025,0.0039
97027,0.0039
97034,0.0101
97035,0.0048
97401,0.0137
97402,0.015
97403,1e-04
97404,0.0239
97405,0.0809
97406,0.0778
97407,0.0416
97408,0.0222
97409,0.0031
97410,0.0049
97411,0.0189
97412,0.0156
97413,0.0257
97414,0.0037
97415,0.022
97416,0.0642
97417,0.0916
97418,0.0656
97419,0.0242
97420,0.0278
97421,0.0225
97422,0.0312
97423,0.047
97424,0.0318
97425,0.0314
97426,0.023
97427,0.0306
97428,0.0271
97429,0.0269
97430,0.0314
97431,0.0694
97432,0.0507
97433,0.013
97434,9e-04
97435,0.0018
97436,0.0013
97437,0.0038
97438,9e-04
97439,1e-04
97440,0.0016
97441,0.0122
97442,0.0099
97443,0.0101
97444,0.0541
97445,0.0428
97446,0.0997
97447,0.123
97448,0.0139
97449,0.0036
97450,4e-04
97451,0.0304
97452,0.045
97453,0.0305
97454,0.0521
97455,0.1165
97456,0.1079
97457,0.0093
97458,0.0075
97459,0.001
97460,3e-04
97461,0.0218
97462,0.0064
97463,0.0028
97464,0.0188
97465,0.0197
97466,0.0075
97479,0.005
97480,0.0068
97481,0.0016
97844,9e-04
97845,0.011
97846,0.0171
97847,0.0112
97848,0.012
97849,0.0487
97850,0.0603
97851,0.0769
97852,0.0269
97853,0.0102
97854,0.0079
97855,0.0093
97856,0.0205
97857,0.0079
97858,0.0062
97859,0.0479
97860,0.0108
97861,0.0269
97862,0.0378
97863,0.0349
97864,0.0353
97865,0.0452
97866,0.0472
97867,0.0541
97868,0.0497
97869,0.0273
97870,0.0324
97871,0.0417
97872,0.0373
97873,0.0442
97874,0.029
97875,0.0338
97876,0.0588
97877,0.0404
97878,0.006
97879,0.0026
97880,0.0191
97881,0.0037
97882,0.0019
97883,0.003
97884,0.0068
97885,0.0026
97886,0.0023
97887,9e-04
97888,0.0032
97889,0.0124
97890,0.032
97891,0.1282
97892,0.1265
97893,0.0138
97894,0.0054
97895,0.0203
97896,0.0549
97897,0.0776
97898,0.0439
97899,0.0225
97900,0.0266
97901,0.0113
97902,2e-04
97903,2e-04
97904,0.0097
97905,0.0108
97906,0.0095
97907,0.0105
97908,0.013
97909,0.0084
97910,0.016
97925,0.0131
97926,0.0199
97927,0.0047
97928,0.0016
98276,0.0069
98277,0.0085
98278,0.0182
98279,0.011
98280,0.0555
98281,0.0332
98282,0.096
98283,0.0346
98284,0.0239
98285,0.0446
98286,0.0052
98287,0.0045
98288,0.0302
98289,0.0335
98290,0.0155
98291,0.0053
98292,0.0126
98293,0.0393
98294,0.0244
98295,0.0301
98296,0.0333
98297,0.0383
98298,0.0613
98299,0.0708
98300,0.048
98301,0.0387
98302,0.0653
98303,0.0211
98304,0.0219
98305,0.0333
98306,0.0286
98307,0.0242
98308,0.0134
98309,1e-04
98310,0.0021
98311,0.0043
98312,0.0012
98313,0.0164
98314,0.0379
98315,0.0223
98316,0.0084
98317,0.0012
98318,3e-04
98319,0.0053
98320,0.0078
98321,0.0531
